VWAP at time: 10:00
Symbol  VWAP
MORT   23.0686
MBII   1.4230
SCHR   52.8840
QHC   2.9710
AGO-E   25.5150
AOSL   11.6518
UGI   55.6879
TCRD   6.7397
MS-I   26.4300
RWK   57.1000
KAI   85.5869
BF.A   46.5655
UTL   49.0426
SMHI   13.2318
AMGN   183.7988
ISTB   49.3392
LBRT   14.9605
AZZ   43.8800
EPM   7.4678
ACA   29.2661
BCOR   28.8787
PRI   108.3919
WAB   68.4850
GCP   25.3243
PCK   8.2000
BTZ   11.7500
FTSI   7.8473
CATO   15.0216
CTS   27.6335
FPI   5.5065
EPRT   15.6962
DPLO   13.3648
EEX   13.8612
DIN   76.4754
EE   51.2985
CWEN   15.3176
AGX   42.3111
DYY   2.2200
AGM   71.3203
CHSP   28.0178
SUN   30.1774
IIN   25.3737
SOI   14.8821
DHR   106.7510
UPWK   18.9966
USPH   106.0201
XLC   43.6099
BKEPP   5.7564
VRTV   32.8766
SYX   23.0029
HOME   21.7839
VEC   24.0762
MLP   11.7200
NNI   51.8506
UAN   3.6461
BOTJ   14.2100
UHT   68.3058
MTH   40.3830
STG   5.4968
MSL   11.2088
HF   40.7734
GII   48.3900
NINE   23.7717
MHO   25.2042
HOPE   14.7117
NGVT   91.5102
USMC   26.2800
INSP   52.7101
HNI   38.0621
LIFE   0.5073
EA   87.5763
PLOW   34.6976
PJC   67.8209
MRCCL   24.5700
KSM   10.7500
NWHM   6.8064
LXU   7.3070
USCR   37.1332
IYR   82.3392
MMP   62.2440
KMT   37.4097
QARP   24.8400
HVT   19.9656
BPMP   16.0907
PRSP   19.8049
NUM   12.7600
PFF   35.9034
HRC   98.0879
DXF   2.7452
FAX   4.0400
CROP   32.0857
KFY   44.3638
HYLS   46.7604
SD   8.1706
IEX   134.1751
PHCF   5.0631
PSA-F   22.9400
IGR   6.9491
RMAX   38.6920
XHR   18.6917
JCAP   21.4849
BLX   18.3952
SB-C   19.7000
NTRI   43.2939
RLGY   17.3267
URE   67.6784
DAR   21.1920
HPS   17.6481
EMITF   1.1902
SPLB   25.9250
PQG   14.8182
LMT   288.6828
MITT   17.7720
HOV   0.6990
ETH   17.6963
FIW   46.9800
FDP   31.4260
CEO   164.3205
CADE   18.9253
NIE   20.1939
JOE   15.3820
CXDC   2.6300
VBIV   1.6299
GOLF   22.8988
BLCM   3.1151
IO   8.6007
AINC   65.1693
BNSO   2.4000
ACRE   14.2976
ACM   30.0034
PHM   26.7138
BIO   240.5616
MRNS   3.0866
WOW   7.2596
RPV   62.1715
FDIS   41.4426
SNA   162.4268
BKI   48.2436
CHH   78.2079
WNC   13.8307
COHR   109.7710
ELF   8.3962
BJ   26.4471
ETB   14.4116
HBMD   13.8314
HYS   98.3561
HTBK   13.2359
RCUS   9.0377
BELFA   19.5986
ESNC   0.1908
GRX   9.8800
CNDT   12.5286
SHBI   15.0238
TTS   7.4049
BDCL   13.3149
SCHW-D   26.2956
JPC   9.1586
EHC   67.5396
